name,category,revenue
"The Thai Chicken Pizza",Chicken,43434.25
"The Barbecue Chicken Pizza",Chicken,42768
"The California Chicken Pizza",Chicken,41409.5
"The Classic Deluxe Pizza",Classic,38180.5
"The Hawaiian Pizza",Classic,32273.25
"The Pepperoni Pizza",Classic,30161.75
"The Spicy Italian Pizza",Supreme,34831.25
"The Italian Supreme Pizza",Supreme,33476.75
"The Sicilian Pizza",Supreme,30940.5
"The Four Cheese Pizza",Veggie,32265.70000000065
"The Mexicana Pizza",Veggie,26780.75
"The Five Cheese Pizza",Veggie,26066.5
